name,grade,seasoned,grade_type,f_b,f_t,f_s,f_c,E,G,density,phi_1,phi_2,phi_3,f_p,f_l,f_sj,f_tp,joint_group
F17 Seasoned Hardwood, F17,TRUE, F,42,25,3.6,34,14000,960,650,0.95,0.85,0.75,,,,,
F14 Unseasoned Hardwood,F14,FALSE,F,36,22,3.3,27,12000,800,,0.9,0.7,0.6,,,,,
F8 Unseasoned Softwood,F8,FALSE,F,22,12,2.2,18,9100,,610,0.9,0.7,0.6,,,,,
F7 Unseasoned Softwood,F7,FALSE,F,18,8.9,1.9,13,7900,,530,0.9,0.7,0.6,,,,,
F5 Unseasoned Softwood,F5,FALSE,F,14,7.3,1.6,11,6900,,460,0.9,0.7,0.6,,,,,
F4 Unseasoned Softwood,F4,FALSE,F,12,5.8,1.3,8.6,6100,,410,0.9,0.7,0.6,,,,,
MGP10,MGP10,TRUE,MGP,17,7.7,2.6,18,10000,670,500,0.9,0.7,0.6,10,30,4.2,0.5,JD5
MGP12,MGP12,TRUE,MGP,28,12,3.5,24,12700,850,540,0.9,0.7,0.6,10,30,4.2,0.5,JD4
MGP15,MGP15,TRUE,MGP,39,18,4.3,30,15200,1010,570,0.95,0.85,0.75,10,30,4.2,0.5,JD4
GL18,GL18,TRUE,GL,45,25,5,45,18500,,1230,0.95,0.85,0.75,,,,,
GL17,GL17,TRUE,GL,40,20,4.2,33,16700,,1110,0.95,0.85,0.75,,,,,
GL13,GL13,TRUE,GL,33,16,4.2,26,13300,,900,0.95,0.85,0.75,,,,,
GL12,GL12,TRUE,GL,25,11,4.2,22,11500,,770,0.95,0.85,0.75,,,,,
GL10,GL10,TRUE,GL,22,8,3.7,18,10000,,670,0.95,0.85,0.75,,,,,
GL8,GL8,TRUE,GL,19,6,3.7,14,8000,,530,0.95,0.85,0.75,,,,,
MGP10 190mm depth,MGP10,TRUE,MGP,16,7.1,2.5,18,10000,670,500,0.9,0.7,0.6,10,30,4.2,0.5,JD5
MGP10 240mm depth,MGP10,TRUE,MGP,15,6.6,2.4,17,10000,670,500,0.9,0.7,0.6,10,30,4.2,0.5,JD5
MGP10 290mm depth,MGP10,TRUE,MGP,14,6.1,2.3,16,10000,670,500,0.9,0.7,0.6,10,30,4.2,0.5,JD5
MGP12 190mm depth,MGP12,TRUE,MGP,25,12,3.3,23,12700,850,540,0.9,0.7,0.6,10,30,4.2,0.5,JD4
MGP12 240mm depth,MGP12,TRUE,MGP,24,11,3.2,22,12700,850,540,0.9,0.7,0.6,10,30,4.2,0.5,JD4
MGP12 290mm depth,MGP12,TRUE,MGP,22,9.9,3.1,22,12700,850,540,0.9,0.7,0.6,10,30,4.2,0.5,JD4
MGP15 190mm depth,MGP15,TRUE,MGP,36,17,4.1,29,15200,1010,570,0.95,0.85,0.75,10,30,4.2,0.5,JD4
MGP15 240mm depth,MGP15,TRUE,MGP,33,16,4,28,15200,1010,570,0.95,0.85,0.75,10,30,4.2,0.5,JD4
MGP15 290mm depth,MGP15,TRUE,MGP,31,14,3.8,27,15200,1010,570,0.95,0.85,0.75,10,30,4.2,0.5,JD4
A17 35mm breadth,A17,TRUE,A,45,26,5.1,40,16000,930,650,0.95,0.85,0.75,17,50,6,0.6,JD3
A17 45mm breadth,A17,TRUE,A,40,24,4.5,35,16000,930,650,0.95,0.85,0.75,17,50,6,0.6,JD3
A17 35mm breadth 140-190 depth,A17,TRUE,A,45,24,4.5,35,16000,930,650,0.95,0.85,0.75,17,50,6,0.6,JD3
A17 45mm breadth 140-190 depth,A17,TRUE,A,40,21,4,32,16000,930,650,0.95,0.85,0.75,17,50,6,0.6,JD3
A17 35mm breadth 240-290 depth,A17,TRUE,A,40,18,3.6,27,16000,930,650,0.95,0.85,0.75,17,50,6,0.6,JD3
A17 45mm breadth 240-290 depth,A17,TRUE,A,40,17,3.3,25,16000,930,650,0.95,0.85,0.75,17,50,6,0.6,JD3
